"key","en","ru","es","pt","zh","fr","de","id","it","ja","tr"
"howToPlay","How To Play","Как Играть","Cómo jugar","Como jogar","如何游玩","Comment jouer","Spielanleitung","Cara Bermain","Come si gioca","遊び方","Nasıl Oynanır"
"next","Next","Следующий","Siguiente","Próximo","下一个","Suivant","Weiter","Berikutnya","Avanti","次へ","İleri"
"done","Done","Сделанный","Hecho","Pronto","完成","Effectué","Fertig","Selesai","Fatto","終了","Bitti!"
"firstTutor","The goal is to move call cards to the foundation. Stacking them by suit from Aces to King. For example, A, 2, 3, and so on.","Цель игры состоит в том, чтобы переместить карты в базовые стопки, раскладывая их по мастям в порядке от туза до короля. Например, A, 2, 3 и так далее.","El objetivo es mover las cartas de igualar a la base. Apilándolas por palo desde Ases hasta Rey. Por ejemplo: A, 2, 3, etc.","O objetivo é mover as cartas de chamada para a base, empilhando-as por naipe, do ás ao rei. Por exemplo, A, 2, 3, e assim por diante.","游戏目标是将扑克牌移至基座。 按照花色进行分组， 以从 A 到 K 的顺序堆叠起来。 例如，A、2、3，以此类推。","L’objectif est de déplacer les cartes d’appel vers la base. En les empilant par couleur, de l'As (A) au Roi (K). Par exemple, A, 2, 3, etc.","Ziel ist es, alle Spielkarten auf das Fundament zu legen. Die Karten werden nach Farben gestapelt, von Ass bis König. Zum Beispiel A, 2, 3 und so weiter.","Sasarannya adalah untuk memindahkan kartu panggilan ke fondasi. Tumpuk yang sesuai dari As sampai Raja. Misalnya, A, 2, 3, dan seterusnya.","L'obiettivo è spostare le carte estratte alle pile. Ordinandole per seme, dall'asso al re. Ad esempio, A, 2, 3 e così via.","このゲームの目標は、 すべてのカードを土台に移動させることです。 A（エース）からK（キング）までをスートごとに重ねていきます。 A、2、3...という要領です。","Hedef, çağrı kartlarını temele taşımaktır. Kartlar Astan Papaza, takıma göre dizilmelidir. Örneğin A, 2, 3, ... şeklinde devam etmelidir."
"secondTutor","Cards can be moved from column to column. In each column, the cards are arranged in order from largest to smallest. Alternating red and black.","Карты можно перемещать из столбца в столбец. В каждом столбце карты должны располагаться в порядке убывания с чередованием красных и черных мастей.","Las cartas se pueden mover de una columna a otra. Las cartas están ordenadas de mayor a menor en todas las columnas. Alternando rojas y negras.","As cartas podem ser movidas de coluna para coluna. Em cada coluna, as cartas estão dispostas por ordem, da maior para a mais pequena, alternando entre vermelhas e pretas.","扑克牌可以在各纵列之间进行移动。 在各纵列中， 扑克牌按从大到小的顺序排列。 红色和黑色的扑克牌会交替排列。","Les cartes peuvent être déplacées de colonne en colonne. Dans chaque colonne, les cartes sont classées de la plus grande à la plus petite. En alternant le rouge et le noir.","Die Karten können von Spalte zu Spalte bewegt werden. In jeder Spalte werden die Karten nach Größe sortiert. Abwechselnd rot und schwarz.","Kartu dapat dipindahkan dari satu kolom ke kolom lainnya. Di setiap kolom, kartu disusun secara berurutan dari yang terbesar hingga terkecil. Bergantian warna merah dan hitam.","Le carte possono essere spostate da una colonna all'altra. In ogni colonna le carte sono disposte in ordine dalla più grande alla più piccola. Alternando rosso e nero.","カードは列から列へと移動させることができます。 それぞれの列では、 カードは大きい数から小さい数へと順番に並びます。 赤と黒を交互に並べます。","Kartlar bir sütundan diğerine taşınabilir. Her sütunda kartlar en büyükten en küçüğe doğru sıralanır. Dönüşümlü olarak bir kırmızı, bir siyah kart dizilmelidir."
"thirdTutor","In the upper-left corner are four free cells. Where you can temporarily store any single cards during play. You need empty FreeCells to move large stacks of cards.","В левом верхнем углу находятся четыре свободные ячейки. Во время игры туда можно временно откладывать одиночные карты. Для перемещения больших стопок карт требуются свободные пустые ячейки.","En la esquina superior izquierda hay cuatro celdas libres. Ahí puedes almacenar temporalmente cualquier carta individual durante el juego. Necesitas FreeCells vacías para mover pilas de cartas grandes.","No canto superior esquerdo tem quatro células livres, onde pode guardar temporariamente quaisquer cartas individuais durante o jogo. Precisa de células livres vazias para mover pilhas grandes de cartas.","左上角有四个闲置单元格。 您可以在游戏过程中将单张扑克牌暂时放置在此。 您需要未被占用的闲置单元格来移动大堆的扑克牌。","Dans le coin supérieur gauche se trouvent quatre cases libres. Où vous pouvez stocker temporairement n'importe quelle carte pendant le jeu. Pour déplacer de grandes piles de cartes, vous avez besoin de cases vides.","In der oberen linken Ecke befinden sich vier freie Zellen. Hier kannst du während des Spiels vorübergehend einzelne Karten ablegen. Du benötigst leere Freizellen, um große Kartenstapel zu bewegen.","Di sudut kiri atas ada empat slot kosong. Di mana Anda dapat menyimpan sementara satu kartu selama bermain. Anda membutuhkan FreeCells kosong untuk memindahkan tumpukan kartu yang besar.","Nell'angolo in alto a sinistra ci sono quattro celle libere. Dove puoi riporre temporaneamente le singole carte durante il gioco. Hai bisogno di celle libere vuote per spostare grandi pile di carte.","左上の隅には4つのフリーセルがあります。 それは、プレイ中にカードを一時的に置くことができる場所です。 数枚のカードを移動させるには、空のフリーセルが必要になります。","Sol üst köşede dört boş hücre bulunur. Oyun sırasında tek kalan herhangi bir kartı buraya geçici olarak depolayabilirsin. Büyük kart yığınlarını taşımak için boş FreeCell'lere ihtiyacın vardır."
"fourthTutor","The sorting order on each foundation in the upper right corner is arranged according to: ""A-2-3-...-Q-K""","Порядок сортировки в базовых стопках в правом верхнем углу выглядит следующим образом: ""A-2-3-...-Q-K""","El orden de clasificación de cada base en la esquina superior derecha está organizado de acuerdo con: ""A-2-3-...-Q-K""","A ordem de classificação em cada base no canto superior direito está organizada pela seguinte ordem: ""A-2-3-...-Q-K""","右上角各基座的排列顺序为“A-2-3-……-Q-K”","L'ordre de tri sur chaque base dans le coin supérieur droit est organisé selon : « A-2-3-...-Q-K »","Die Sortierreihenfolge auf jedem Fundament in der oberen rechten Ecke ist wie folgt: „A-2-3-...-Q-K“","Urutan pengurutan pada setiap fondasi di sudut kanan atas diatur menurut: ""A-2-3-...-Q-K""","L'ordinamento di ciascuna pila nell'angolo in alto a destra è strutturato come segue: ""A-2-3-...-Q-K""","右上隅の土台に重ねる順番は、 「A、2、3...Q、K」という順番になります。","Sağ üst köşede her temeldeki sıralama düzeni şu şekilde düzenlenir: ""A-2-3- ...-Q-K"""
"settings","Settings","Настройки","Configuración","Definições","设置","Paramètres","Einstellungen","Pengaturan","Impostazioni","設定","Ayarlar"
"inviteFriends","Invite Friends","Пригласить Друзей","Invita a amigos","Convidar amigos","邀请好友","Inviter des amis","Freunde einladen","Undang Teman","Invita gli amici","フレンドを招待","Arkadaşlarını Davet Et"
"soundEffects","Sound Effects","Звук","Efectos de sonido","Efeitos de som","声效","Effets sonores","Toneffekte","Efek Suara","Effetti sonori","効果音","Ses Efektleri"
"vibration","Vibration","Вибрация","Vibración","Vibração","震动","Vibration","Vibration","Getaran","Vibrazione","振動","Titreşim"
"theme","Theme","Тема","Tema","Tema","主题","Thème","Thema","Tema","Tema","テーマ","Tema"
"tapToMove","Tap To Move","Нажмите, чтобы переместить","Toca para mover","Toca para mover","点击移动","Appuyez pour déplacer","Antippen zum Bewegen","Ketuk untuk Memindahkan","Tocca per spostare","タップして移動","Taşımak için Dokun"
"autoHints","Auto Hints","Автоподсказки","Sugerencias automáticas","Sugestões automáticas","自动提示","Indices automatiques","Automatische Tipps","Petunjuk Otomatis","Suggerimenti automatici","自動でヒント","Otomatik İpuçları"
"autoComplete","Auto Complete","Автозаполнение","Autocompletar","Preenchimento automático","自动完成","Compléter automatiquement","Auto-Vervollständigen","Selesai Otomatis","Completamento automatico","自動で完了","Otomatik Tamamlama"
"drawMode3","3 Draw Mode","Режим «Еще 3»","Modo de Triple Robo","Modo Tirar 3","3张牌模式","Mode 3 tirages","3-Ziehen-Modus","Mode 3 Tarikan","Modalità pesca 3","3 ドローモード","3 kart çekme modu"
"statistics","Statistics","Статистика","Estadísticas","Estatísticas","统计数据","Statistiques","Statistiken","Statistik","Statistiche","統計","İstatistikler"
"draw1","Draw 1","Еще 1","Roba 1","Tirar 1","1张牌","Tirer 1","Ziehe 1","Tarik 1","Pesca 1","1 枚引き","1 kart çek"
"draw3","Draw 3","Еще 3","Roba 3","Tirar 3","3张牌","Tirer 3","Ziehe 3","Tarik 3","Pesca 3","3 枚引き","3 kart çek"
"win","Win: {{v}}","Победа: {{v}}","Victoria: {{v}}","Vitória: {{v}}","胜利：{{v}}","Victoire: {{v}}","Sieg: {{v}}","Menang: {{v}}","Vittoria: {{v}}","勝利：{{v}}","Galibiyet: {{v}}"
"loss","Loss: {{v}}","Проигрыш: {{v}}","Derrota: {{v}}","Derrota: {{v}}","失败：{{v}}","Défaite: {{v}}","Niederlage: {{v}}","Kalah: {{v}}","Sconfitta: {{v}}","敗北：{{v}}","Mağlubiyet: {{v}}"
"matches","matches","Совпадения","partidas","partidas","对局","matchs","Matches","pertandingan","partite","マッチ","maçlar"
"match","match","совпадение","partido","partida","对局","match","Match","pertandingan","partita","マッチ","maç"
"winsWithoutUndo","Wins Without Undo","Победы Без Отмены","Victorias sin deshacer","Vitórias sem desfazer","不用还原赢得胜利","Victoires sans annulation","Siege ohne Rückgängig","Menangi tanpa Undo","Vittorie senza annulla mossa","「元に戻す」なしの勝利数","Geri Almadan Galibiyetler"
"bestScore","Best Score","Лучший Счет","Mejor puntuación","Melhor pontuação","最高分数","Meilleur score","Bestes Ergebnis","Skor Terbaik","Miglior punteggio","ベストスコア","En İyi Skor"
"avgScore","Average Score","Средний балл","Puntuación media","Pontuação média","平均分","Score moyen","Durchschnittliches Ergebnis","Skor Rata-Rata","Punteggio medio","平均スコア","Ortalama Puan"
"bestWinningTime","Best Winning Time","Лучшее время","Mejor tiempo ganador","Melhor tempo vencedor","最佳胜利时间","Meilleur temps de victoire","Beste Siegzeit","Waktu Menang Terbaik","Miglior tempo","ベストの勝利タイム","En iyi Kazanma Süresi"
"avgWinningTime","Average Winning Time","Среднее время","Tiempo medio de victoria","Tempo médio de vitória","平均胜利时间","Temps moyen de victoire","Durchschnittliche Siegzeit","Waktu Menang Rata-Rata","Tempo medio di vittoria","平均の勝利タイム","Ortalama Kazanma Süresi"
"awesome","Awesome!","Потрясающе!","¡Alucinante!","Espantoso!","太棒了！","Génial !","Super!","Istimewa!","Fantastico!","優秀だね！","Müthiş!"
"score","Score","Счет","Puntuación","Pontuação","分数","Score","Punktzahl","Skor","Punteggio","スコア","Skor"
"moves","Moves","Ходы","Movimientos","Movimentos","步数","Déplacements","Züge","Langkah","Mosse","ムーブ","Hamleler"
"time","Time","Время","Tiempo","Tempo","时间","Temps","Zeit","Waktu","Tempo","タイム","Süre"
"bestTime","Best time","Лучшее время","Mejor tiempo","Melhor tempo","最佳实践","Meilleurs temps","Beste Zeit","Waktu terbaik","Miglior tempo","ベストタイム","En iyi süre"
"outOfMoves","Out of moves!","Нет ходов!","¡No quedan movimientos!","Não ficam movimentos!","没有可用步数！","À court de déplacements !","Keine Züge mehr!","Langkah habis!","Mosse esaurite","手詰まり！","Hamle kalmadı!"
"OUTOFMOVES","OUT OF MOVES!","НЕТ ХОДОВ!","¡NO QUEDAN MOVIMIENTOS!","NÃO FICAM MOVIMENTOS!","没有可用步数！","À COURT DE DÉPLACEMENTS !","KEINE ZÜGE MEHR!","LANGKAH HABIS!","MOSSE ESAURITE","手詰まり！","HAMLE KALMADI!"
"newGame","New Game","Новая игра","Nueva partida","Novo jogo","新游戏","Nouveau jeu","Neues Spiel","Game Baru","Nuova partita","新しいゲーム","Yeni Oyun"
"game","Game","Игра","Juego","Jogo","游戏","Jeu","Spiel","Game","Partita","ゲーム","Oyun"
"hint","Hint","Подсказка","Pista","Dica","提示","Indice","Tipp","Petunjuk","Suggerimento","ヒント","İpucu"
"undo","Undo","Отменить","Deshacer","Desfazer","还原","Annuler","Rückgängig","Undo","Annulla","元に戻す","Geri al"
"autoComplete","Auto Complete","Автозаполнение","Autocompletar","Preenchimento automático","自动完成","Compléter automatiquement","Auto-Vervollständigen","Selesai Otomatis","Completamento automatico","自動で完了","Otomatik Tamamlama"
"newSettings","New settings will take effect in the next deal!","Новые настройки вступят в силу в следующей раздаче!","Los nuevos ajustes entrarán en vigor en el próximo reparto.","As novas definições entrarão em vigor na próxima repartição!","新设置会在下次 发牌时生效！","Les paramètres prendront effet lors de la prochaine distribution !","Die neuen Einstellungen werden beim nächsten Deal wirksam!","Pengaturan baru akan berlaku di transaksi berikutnya!","Le nuove impostazioni avranno effetto nella prossima partita!","新しい設定は次のゲームから適 用されます！","Yeni ayarlar bir sonraki turda uygulanacak!"
"ok","OK","Да","OK","OK","确定","OK","OK","OK","OK","OK","TAMAM"
"newDeal","New Deal","Новая раздача","Nuevo reparto","Nova repartição","新牌","Nouvelle distribution","Neuer Deal","Transaksi baru","Nuova partita","新しいゲーム","Yeni Tur"
"replay","Replay","Повторить","Repetición","Repetição","重新开始","Rejouer","Wiederholen","Ulangi permainan","Rigioca","リプレイ","Yeniden oynat"
"cancel","Cancel","Отмена","Cancelar","Cancelar","取消","Annuler","Abbrechen","Batalkan","Annulla","キャンセル","İptal"
"loadingAds","Loading ads...","Загрузка Объявлений...","Cargando anuncios...","A carregar anúncios...","加载广告中……","Chargement des publicités...","Lade Werbung ...","Memuat iklan ...","Caricamento annunci...","広告を読み込み中...","Reklam yükleniyor..."
"loading","Loading...","Загрузка...","Cargando...","A carregar...","正在载入……","Chargement...","Laden …","Memuat...","Caricamento…","読み込んでいます...","Yükleniyor..."
"background","Background","Фон","Fondo","Fundo","背景","Arrière-plan","Hintergrund","Latar Belakang","Sfondo","背景","Arka plan"
"cardFace","Card Face","Лицо карты","Cara de la carta","Face da carta","卡牌正面","Recto des cartes","Kartenvorderseite","Bagian Depan Kartu","Faccia della carta","カード表","Kart önü"
"cardBack","Card Back","Рубашка карты","Dorso de la carta","Verso da carta","卡牌背面","Verso des cartes","Kartenrückseite","Bagian Belakang Kartu","Retro della carta","カード裏","Kart arkası"
"howToPlay?","How To Play?","Как Играть?","Cómo jugar?","Como jogar?","如何游玩?","Comment jouer?","Spielanleitung?","Cara Bermain?","Come si gioca?","遊び方?","Nasıl Oynanır?"
"lose","Lose: {{v}}","Проигрыш: {{v}}","Pierde: {{v}}","Derrota: {{v}}","您输了：{{v}}","Perdu : {{v}}","Verloren: {{v}}","Kalah: {{v}}","Perdi: {{v}}","負け：{{v}}","Yenilgi: {{v}}"
"WELLDONE","WELL DONE!","ОТЛИЧНО!","¡BIEN HECHO!","BEM FEITO!","干的漂亮！","BIEN JOUÉ !","GUT GEMACHT!","SELESAI!","BEN FATTO!","素晴らしい！","TEBRİKLER!"
"tournaments","Tournaments","Турниры","Torneos","Torneios","锦标赛","Tournois","Turniere","Turnamen","Tornei","トーナメント","Turnuvalar"
"backToGame","Back To Game","Вернуться к игре","Volver al juego","Voltar ao Jogo","返回游戏","Retour au jeu","Zurück zum Spiel","Kembali Ke Permainan","Ritorna al gioco","ゲームに戻る","Oyuna Dön"
"followPage","Follow Page","Подписаться на страницу","Seguir la página","Seguir a Página","关注页面","Suivre la page","Seite folgen","Ikuti Halaman","Segui la pagina","ページをフォロー","Sayfayı Takip Et"
"joinGroup","Join Group","Вступить в группу","Unirse al grupo","Aderir ao Grupo","加入群组","Rejoindre le groupe","Gruppe beitreten","Bergabung dengan Grup","Unisciti al gruppo","グループに参加","Gruba Katıl"
"autoMoveToFoundation","Auto Move To Foundation","Автоперемещение в базовую стопку","Mover automáticamente a la base","Mover automaticamente para a base","自动移动到基座","Déplacement automatique vers la base","Automatisch zum Fundament bewegen","Pindah Otomatis ke Fondasi","Spostamento automatico alle pile","ファウンデーションへの自動移動","Temele Otomatik Taşı"
"highlightLowCards","Highlight Low Cards","Выделить младшие карты","Señalar las cartas bajas","Destaque as cartas baixas","加亮突出显示小牌","Mettre en surbrillance les cartes basses","Niedrige Karten hervorheben","Soroti Kartu Rendah","Evidenzia le carte basse","数の小さいカードを強調表示","Düşük Kartları Vurgula"
"global","Global","Глобальный","Global","Global","全球","Mondial","Weltweit","Global","Globale","グローバル","Küresel"
"friends","Friends","Друзья","Amigos","Amigos","好友","Amis","Freunde","Teman","Amici","友達","Arkadaşlar"
"you","You","Вы","Tú","Você","您","Vous","Du","Anda","Tu","あなた","Sen"
"noTournaments","You have no tournaments","У вас нет турниров","No tienes torneos","Você não tem torneios","您未参加任何锦标赛","Vous n'avez aucun tournoi","Du hast keine Turniere","Anda tidak memiliki turnamen","Non hai tornei","トーナメントはありません","Hiç turnuvan yok"
"noCompetition","This competition is over","Это соревнование окончено","Esta competición ha terminado","Esta competição terminou","本次比赛已结束","Cette compétition est terminée","Dieser Wettbewerb ist vorbei","Kompetisi ini telah berakhir","Questa gara è finita","この大会は終了しました","Bu yarışma sona erdi"
"competitionEndsInDays","Competition ends in {{count}} day","Соревнование заканчивается через {{count}} день","La competición termina en {{count}} día","A competição termina daqui a {{count}} dia","比赛将于 {{count}} 天后结束","La compétition se termine dans {{count}} jour","Wettbewerb endet in {{count}} Tag","Kompetisi berakhir dalam {{count}} hari","La gara termina tra {{count}} giorno","大会ははあと{{count}}日で終了します","Yarışma {{count}} gün içinde sona eriyor"
"competitionEndsInDays_plural","Competition ends in {{count}} days","Соревнование заканчивается через {{count}} дня","La competición termina en {{count}} días","A competição termina daqui a {{count}} dias","比赛将于 {{count}} 天后结束","La compétition se termine dans {{count}} jours","Wettbewerb endet in {{count}} Tagen","Kompetisi berakhir dalam {{count}} hari","La gara termina tra {{count}} giorni","大会ははあと{{count}}日で終了します","Yarışma {{count}} gün içinde sona eriyor"
"competitionEndsInHMS","Competition ends in {{time}}","Соревнование заканчивается через {{time}}","La competición finaliza en {{time}}","A competição termina daqui a {{time}}","比赛将于 {{time}} 后结束","La compétition se termine dans {{time}}","Wettbewerb endet in {{time}}","Kompetisi berakhir pada {{time}}","La gara termina tra {{time}}","大会はは{{time}}に終了します","Yarışma {{time}} içinde sona eriyor"
"joinTournament","Join tournament","Участвовать в турнире","Unirse al torneo","Junte-se ao torneio","加入锦标赛","Rejoindre le tournoi","Am Turnier teilnehmen","Gabung turnamen","Partecipa al torneo","トーナメントに参加","Turnuvaya katıl"
"continueTournament","Continue tournament","Продолжить турнир","Continuar el torneo","Continuar torneio","继续参加锦标赛","Continuer le tournoi","Turnier fortsetzen","Lanjutkan turnamen","Continua il torneo","トーナメントを続行","Turnuvaya devam et"
"playWithFriends","Play With Friends","Играть с друзьями","Jugar con amigos","Jogar com amigos","和好友们一起游戏","Jouer avec des amis","Mit Freunden spielen","Bermain Dengan Teman","Gioca con gli amici","友達とプレイ","Arkadaşlarla Oyna"
"standardMode","Standard Mode","Стандартный режим","Modo estándar","Modo padrão","标准模式","Mode standard","Standardmodus","Mode Standar","Modalità standard","標準モード","Standart Mod"
"share","Share","Поделиться","Compartir","Partilhar","分享","Partager","Teilen","Bagikan","Condividi","シェア","Paylaş"
"youWin","You Win","Вы победили","Has ganado","Ganhou","您赢了","Vous avez gagné","Du hast gewonnen","Anda Menang","Hai vinto","あなたの勝ち","Kazandın"
"youLose","You Lose","Вы проиграли","Has perdido","Perdeu","您输了","Vous avez perdu","Du hast verloren","Anda Kalah","Hai perso","あなたの負け","Kaybettin"
"draw","Draw","Ничья","Robar","Empate","平局","Match nul","Unentschieden","Seri","Estrai","ドロー","Berabere"
"waiting","Waiting...","Ждем...","Esperando...","A aguardar...","等待中……","En attente...","Warten …","Menunggu...","In attesa...","待機中...","Bekleniyor..."
"createTournament","Create Tournament","Создать турнир","Crear torneo","Criar Torneio","创建锦标赛","Créer un tournoi","Turnier erstellen","Buat Turnamen","Crea torneo","トーナメントを作成","Turnuva Oluştur"
"foundations","FOUNDATIONS","БАЗОВЫЕ СТОПКИ","BASES","BASES","基座","BASES","FUNDAMENTE","FONDASI","PILE","ファウンデーション","TEMELLER"
"freecells","FREECELLS","СВОБОДНЫЕ ЯЧЕЙКИ","CELDAS LIBRES","CÉLULAS LIVRES","闲置单元格","CASES LIBRES","FREIZELLEN","SEL KOSONG","CELLE LIBERE","フリーセル","BOŞ HÜCRELER"
"JoiningTournament","Joining tournament...","Вход в турнир...","Unirse al torneo...","A juntar-se ao torneio...","参加锦标赛……","Inscription au tournoi...","Am Turnier teilnehmen …","Bergabung dengan turnamen...","Partecipando al torneo...","トーナメントに参加中...","Turnuvaya katılım sağlanıyor..."
"CannotJoinTournament","Sorry, you cannot join at this time.","Извините, сейчас вы не можете присоединиться.","Lo sentimos, no puedes unirte en este momento.","Lamentamos, mas não pode participar neste momento.","对不起，您目前无法加入。","Désolé, vous ne pouvez pas vous inscrire pour le moment.","Entschuldigung, du kannst jetzt nicht beitreten.","Maaf, Anda tidak dapat bergabung saat ini.","Siamo spiacenti, non puoi partecipare in questo momento.","申し訳ありません、現在参加できません。","Üzgünüz, şu anda katılamazsın."
"creatingTournament","Creating tournament...","Создание турнира...","Creando torneo...","A criar torneio...","正在创建锦标赛……","Création d'un tournoi...","Turnier erstellen …","Membuat turnamen...","Creazione del torneo...","トーナメントを作成中...","Turnuva oluşturuluyor..."
"tryAgain","Try Again","Еще раз","Intentar otra vez","Tente novamente","再试一次","Essayer à nouveau","Erneut versuchen","Coba Lagi","Riprova","再試行","Tekrar Dene"
"languages","Languages","Языки","Idiomas","Idiomas","语言","Langues","Sprachen","Bahasa","Lingue","言語","Diller"
"totalGame","Total Game","Общее количество матчей","Total de partidas","Total de partidas","总比赛数","Total de matchs","Gesamtanzahl der Spiele","Total Pertandingan","Totale partite","総試合数","Toplam Maç"
"yourFriend","Your Friend","Ваш друг","Tu amigo","Seu amigo","你的朋友","Votre ami","Dein Freund","Teman Anda","Il tuo amico","あなたの友達","Arkadaşınız"
"warningText","With {{numberOfEmptyFreeCell}} empty freecells and {{numberOfEmptyPile}} empty tableau column, you can move up to {{maxCardCanMoveToEmptyPile}} cards to this tableau column","С {{numberOfEmptyFreeCell}} свободными ячейками и {{numberOfEmptyPile}} пустыми столбцами таблицы, вы можете перемещать до {{maxCardCanMoveToEmptyPile}} карт в этот столбец таблицы","Con {{numberOfEmptyFreeCell}} celdas libres vacías y {{numberOfEmptyPile}} columna de tableau vacía, puedes mover hasta {{maxCardCanMoveToEmptyPile}} cartas a esta columna de tableau","Com {{numberOfEmptyFreeCell}} células livres vazias e {{numberOfEmptyPile}} coluna de tabela vazia, você pode mover até {{maxCardCanMoveToEmptyPile}} cartas para esta coluna de tabela","有{{numberOfEmptyFreeCell}}个空闲单元格和{{numberOfEmptyPile}}个空牌桌列， 您可以将最多{{maxCardCanMoveToEmptyPile}}张卡移动到此牌桌列","Avec {{numberOfEmptyFreeCell}} cellules libres vides et {{numberOfEmptyPile}} colonne de tableau vide, vous pouvez déplacer jusqu'à {{maxCardCanMoveToEmptyPile}} cartes vers cette colonne de tableau","Mit {{numberOfEmptyFreeCell}} leeren freizellen und {{numberOfEmptyPile}} leerem tableau-spalte können sie bis zu {{maxCardCanMoveToEmptyPile}} karten in diese tableau-spalte bewegen","Dengan {{numberOfEmptyFreeCell}} sel kosong dan {{numberOfEmptyPile}} kolom tableau kosong, anda dapat memindahkan hingga {{maxCardCanMoveToEmptyPile}} kartu ke Kolom ini","Con {{numberOfEmptyFreeCell}} freecell vuote e {{numberOfEmptyPile}} colonna di tableau vuota, puoi spostare fino a {{maxCardCanMoveToEmptyPile}} carte in questa colonna di tableau","{{numberOfEmptyFreeCell}}個の空きフリーセルと{{numberOfEmptyPile}}個の空のテーブル列があります。 このテーブル列に最大{{maxCardCanMoveToEmptyPile}}枚のカードを移動できます。","{{numberOfEmptyFreeCell}} boş hücre ve {{numberOfEmptyPile}} boş tablo sütunu ile, bu tablo sütununa en fazla {{maxCardCanMoveToEmptyPile}} kartı taşıyabilirsiniz"
